Map,Time,Solution Length,Generated States,Traversed States,Solution
mini_cosmos_21,20.177,143,12555,3524,rrulrudldllurldrrruuurulrdlllulurrdrrdlddlrdrdllullurrlldrrruuurullulldrdrlulurrdrdddllldrrdrrullrullldrlurrruurullldrlurrddddldrlurullldrlurrd
mini_cosmos_22,269.324,263,91543,26545,rrulrudldllurldrrruuurulrdlddlruurullrrdlddldllurldrrruuurullulldrdrlulurrdrdddldllurrlldrrdrrullrullldrrllurrrudllldrrdrrullrullldrlurrruurulrdlddllldrrllurrruurullrrdlddllldrrdrrullrullldrlurrruurullulldrdrlulurrdrddddlruuurullldrlurrdddlddrululldrlurrdruuurull
mini_cosmos_23,129.476,723,23544,7449,rruuulllldlrurrrrdddrdldllulullulluurdlurrrrrrrdddrdldllululluurulrrrrrdddrdldllululluulldrlurrrurrrrdddrdldllulullulluurrrrrrlllllldrdrururrrurdlllllrrrrrdddlllllulluurrrrrrlllllldrrddrrrddrrurulrdldllulurrllllullurrrurrrurdllllllldrrddrrrddrrurulrdldlluluruuurrdddlruuullllllldrrddrrrldrdrruulrrdldllulullullurrrurrrrdduullllllldrrddrrdrdrrurulrdldllulullullurrrurrdddlllullurrrurrrrdddllrrrdldlluurruuullllllldrrddrrrrllllullurrrurrrrdddllldrdrruurdldllulurudrrrdldllulullullurrrurrrrdddllldrdrrurulrdldllulurrluuddlllullurrrurrllllldrrddrrrddrrurullrrdldllulullullurrrurrrlllllldrrddrrdrdrrurullllruuururdllllllldrrddrrllullurrrurrdddrrrdldlludrrurullluuurrdddlllrddrrurullrrdldlluurruuullddddlurrruuullllllldrrddrrdruu
mini_cosmos_24,905.771,0,112523,36329,Not Found
mini_cosmos_25,80.14,143,26545,8623,urullldduurrrdlddrdllulldllurrrrllluurlddrrrdrrullruurullldllddrrrllluurrdullddrrlluurrurrrdlddrddluulrudrdllulrruurulrdlddrdllulldllurrrrdruuu
mini_cosmos_26,900.086,0,164937,55385,Not Found
mini_cosmos_27,122.289,529,19781,6371,rrulllludrrrudrdllldlluuruuddrrruulululddduurrdrrulrdlddrdllldlluurrrlllddrrrurrulrdllldlluuruuurrlldddrrlllddrrrurrullrrdllldlluuruuurrdrrullrrdlddrdllldlluurrrlllddrrrurrulllrruurulllrrrdlddrdllldlluurrrlllddrrrurrullruurullluldrrrrdlddrdllldlluurrrlllddrrrurrulllrruurulllldurrrrdlddrdllldlluurrrlllddrrrurruluurulllldduurrrrdlddrdlllurldrrurdllldlluurrrlllddrrrurrulrdllldlluuruuurrrrdlddrdlrullrrdllrrulllrrrdlldllluurrrlllddrrrururdlldlurrruludrdllldlluurrrlllddrrrurrulrdllldlluuruuurrrrdlrulllldddrrlllddrrruruuurullluldd
mini_cosmos_28,900.007,0,107628,35071,Not Found
mini_cosmos_29,95.425,538,22520,7505,lluuruurrullllddrllddrluurrdrrddllulluuruurrrrdlldlllddrrudlluurrllddrrdrruululllddrrurrddllulluuruurrdrrullllddlddrrdrruululrurrullrrdlldldrrddllulluurrllddrrdrruululluurrllddrrurruuldrdlrulllrdrrulllulldrrrdrrulrdlldlllddrrdrruulrddllulluurrrurrullrrdlldlllddrruruurrulllrrrdlldlrurrulllulldrrrdrruuldlddldrrddllulluurrllddrrdrruululluurrddlllddrrdrruulrddllulluurrdrulluurrrrdlrullllddrrurrulllrrrdlldldrrddllulluurrrurrullluldrrrrdlldlllddrrurrddllulluurrllddrrdrruuluurrulllulldrrrdrruuldrdlrullddlludrrurrulllulldrrrllddrrurruuldrdl
mini_cosmos_30,900.029,0,140858,48218,Not Found
