Map,Time,Solution Length,Generated States,Traversed States,Solution
micro_cosmos_01,43.436,119,36068,8991,llluurdldrrurdrrruuldlrrdllulldddrruurrulldddlluulluurdrddrdrulluulldrurrdduulldrurrllddrrurruuldlrrdlulldllurdrrurrdll
micro_cosmos_02,600.001,0,217368,55949,Not Found
micro_cosmos_03,36.188,155,22631,7293,rrruuulllrrrulullrrddrdddllllluuurrrllldddrrrrruuuululldurrdrddlulluurrdrdlrdddllllluuuuurrddlruulldddduuuurrrurddrddlulllruurrdrdllluullddduuurrddlruulldd
micro_cosmos_04,600.042,0,203327,48220,Not Found
micro_cosmos_05,600.019,0,172469,58298,Not Found
micro_cosmos_07,90.7,153,21387,7801,ldldrrrurulrdldlluuuurrddlruulldddlddrurruruluulldddlddrdrruuddllulurluruuurrddlruulldddlddruddrruulrurulddddllulurddrruuuuuulldddduuuurrddlrddlruuuulldd
micro_cosmos_08,600.014,0,107666,28451,Not Found
micro_cosmos_10,443.212,173,80926,21978,rurddldlrurulllddrruruluuulldddurluurrddrddldlluuurrduuulldldrrdlddddrddluuuurrurululllururrddrddldlluuurrdulldruruulldldruurrddrdluuulldddddrruuudddlluurlurdlddrruruuldllur
micro_cosmos_14,600.006,0,70097,23611,Not Found
micro_cosmos_15,600.008,0,159048,49483,Not Found
,,,,,
,,,,,
,,,,,
,,,,,
micro_cosmos_28,38.826,99,27966,6314,ldllurdlllurdrruurlddlllurrdrrulrrudldlllurdrrururuuldldldururrdldllurdruldlldllurrrurrdldllurllldr
micro_cosmos_29,388.302,87,164732,36979,lddrurruuldrdlldlddrurulruruulddlddlluururdrruuldrdlulldlddrrruulrruuldlddrdluuurrdluld
micro_cosmos_33,610.036,0,175845,55507,Not Found
micro_cosmos_34,202.059,162,113959,32505,dlllulldrrluuurdrllddrudrrlllluruurdrrllldldrrudrrurrruulldlrurrddldllllulldrrluuurdrrddrrulrruulldurrddldllllulurddrrrruruulldllldlldrruuuldrrrrurrddldlludrrulul
micro_cosmos_39,600.029,0,207701,61852,Not Found
micro_cosmos_40,37.397,168,27308,9051,ruulldldrrllddrdrudluluuururrdrddrdlllrruulllrrrddlludrruuulullddrlulldrddrruululdrrddlluuruurrdrdddlluulllurdddrdrurruulllrruulldldururrddllrrrddlludrruuulullddrlulldr
