Map,Time,Solution Length,Generated States,Traversed States,Solution
mini_cosmos_01,0.169,39,315,113,uuluurlddrrruruullddullddrrurrrddllulur
mini_cosmos_02,0.643,66,761,276,rruullluurlddrrurruullddullddrrurrrddllulurdddlludrruuluullddrrurd
mini_cosmos_03,8.692,85,7285,2779,rruullluurlddrrrddlludrruuuruulldllddrrlluurrdrdluullddrddrruuluuurrddrddlruuluullddr
mini_cosmos_04,1.292,75,1499,432,uuulurrrllldrddrrruuruulddduullldddrrdrrulllrruuulldlddlddruuudrrruuulllldr
mini_cosmos_05,14.253,180,9344,2728,uuururldllurdddrrruuruuldddurullldllurldrddrrdrrulllrruuulldllurdddlddruurrruuulldllurrlddururldlddrrruuruuldllldddlddruuudrrruuruuldlllldrurrrdduullldddrrdrrulllrruuullldddlddruuu
mini_cosmos_06,69.148,191,44770,13301,luruururldllurrldddrrdrrulllrruuruuldlldllurrldddlddruurrruuruuldlrddurullldllurrldddrrdrrullruuulldllurrdlddlddruurrdrrullruuulldllurrrlldddlddruuudrrdrrulllrruuruuldlllldrddlddruuudrrruurul
mini_cosmos_07,2.505,71,3246,1083,lullurrrlluurrdrdllruullddldrurddrrddlluurrurulllruullddrdlurrrddddlluu
mini_cosmos_08,41.864,101,31294,10591,luurrddllullurrrlluurrdrdlldludrdrrurulluullddldruuurrddlrrddllddrruuurulluulldduurrddldlurrrddddlluu
mini_cosmos_09,1.593,113,1248,446,ldlddlluuurrruulldurrddddldlluuurldddrrurrruulrddllldlluuuruurrdddldrldlluuurrluurrddrrddllrruulldullldddrruruuld
mini_cosmos_10,6.769,104,6793,2503,rddllulurllldddrruruuuulldurrddddrruulrddllldlluuuruurrddduuullddrdulldddrruuddlluuuruurrddrrddllrruulld
mini_cosmos_11,7.392,110,5388,1820,dlullrrdldlluuudlluururrdlrrrdulllddrrdrrullddlluulluurrddddrruulrddlluuudlluururdrlllddrrudlluururrdlddrrruul
mini_cosmos_12,98.992,200,39806,13816,dlulllddrrurulddlluurrlluullddrrddrruulrddlluuudlluururrdlddrrdrrullddlluuuurrrdulllddlluurrddddrruullrrdrrulllrddlluurrruullulldrllddrrudrrlllluururdrlllddrrudlluururrdlddrrdrrullruulrdddldlluurrdruu
mini_cosmos_13,10.084,114,7743,2569,rruurrdddrdlllldlurruulluurrddddlludrruuuulldldruurrrurddddrdlllldluuurlddrrrruuuulllldldrddrruullrrrruulldurrddll
