Map,Time,Solution Length,Generated States,Traversed States,Solution
mini_cosmos_21,10.007,73,8843,2200,rruuuruldllulurrdldrurdddldllurrddrruluuuruldlluurdldrurddddldruullldrurd
mini_cosmos_22,149.498,103,92619,22816,rruuurullulldrdrluurdrdddldllurrddrruluuurullulldrdrluurdrddddldruuuuulldrlurrdddlddrululldrurdruuurull
mini_cosmos_23,28.228,175,15633,4211,uuulldlrurrdddlllululurrrrrllllddrulurrldddrrruuururddddllllluururldlddrrrddrrurullrddlluuudllluuurrrrurddddllddrrurullruuulldullldddrrdrdrruullddrruuuuulldddduuuullldddrrdruu
mini_cosmos_24,532.249,349,150589,40523,uuulldlurrrrrdddllllludrrruuulllllddrulurrrrldluldrrurrdddrruuulrdddllllluulldrurrurrdddlllullururrllldrdrdrrruuururdlldddllluluurrdluldrddrrruuurrdddllllluuurrlldlldrururrrdddrruuulrdddllddrrurullrddlluuudllluluurdurrrrurddddllldrdrrurullrddllululludrrdrdrruulllrrruuullllllddrullurrrrrrurddddllldrdrruruluuulldddduuuullldddrrdruudllluuurrrrrdddlll
mini_cosmos_25,3.203,95,3664,1098,uulldduurrdddllldllurrrrdruuuddlllluurlddrrrruuruuldlldllddrrrruurulrdlddlllluurrdullddrrrdruuu
mini_cosmos_26,240.048,161,91524,27775,uulldurrrdlddrdllulldllurrrrdruuuruuldlldduurrdddllrrrddluuuuddllldlluruurlddrrrdrrulllrruuruuldlldurrdddrddluuuuruldddllldllurrrrdruuuddlllluurrdullddrrrdrrulll
mini_cosmos_27,4.999,119,5318,1388,uruululldduurrdrrulllulddurrdrdddldllluurrdrruuurulllldduurrdrdddllurdruuddlldlluuruuurrrrdlddllddlluurrrdruuurullluldd
mini_cosmos_28,243.156,249,107348,29199,rruluululldduurrdrrulddddllurddllluurrluuurrdrruldddrdlldllluurrrlluuurrdrrulllulddurrrddduululldduurrdrddlddllluurrluuurrdrddrdluuululldddrrlllddrrrururdlldllluurrrddluruldrrruluddllurddllluurrluuurrrrdlullldddrdrrullrruurulllulddurrrddddldllluurrr
mini_cosmos_29,2.427,100,2474,821,lluuruuullddrllddrluurrdrudrddlludrruuluudlluuurdrllddrrurruuldldddrddlluuruuullddrdrulluurrdduurrdl
mini_cosmos_30,249.711,292,83641,26436,lluuddrruuluuullddrdrudrddlludrruuluudlluurrdrruuldldddrddlluuruuullddrdrulllddrluurrdrrddllulluuruurrdduurrdlulllddrrudlllddrrudlluurrdddrruululluurrllddrrurruuldrdlulluldrrddlllddrrudlluurrdddrruuluurullulldrrrddlllddrrudlluurrdruurruuldrdluldduululldrrrdrruuldlddlludrruurrdlullulldrrrrurd
mini_cosmos_31,1.074,80,948,369,lluuurrdrdrdllruululldddddrrruullulduuurrdrdrdllrddllluuudddrrruulluldrrruululld
mini_cosmos_32,4.025,91,3952,1417,luurrdrdluullddddrruulrddlluuuluurdrrdrdlddlluuulurddddrruulrddlluuuluurdddrruulrddlluluurd
mini_cosmos_33,81.963,102,51915,13558,llluruurdlddrrruruuldllulddlddrurudrruruuldllddrrurulddlluurrddllllurdrrruulluldrrrddlludllururldldrru
mini_cosmos_34,126.188,151,62256,16632,ruruuldrddlllullururdrrurddrddluludlluluurdrrddlludrruullddrrrrulrdlllluurrdrrdlluulldllurdrdrrllulurddrrurrdlluulrurdlddrrulullldllurdrdrruruldrrddluu
mini_cosmos_35,10.307,106,10199,3539,dllululldddrrudlluuurrurdllldddrrurrruulllrrrddllludrrruulldldruuuldrddldlluuurrduurddlulldddrruuddlluuurr
mini_cosmos_36,15.692,82,14533,4651,dlldluuulluurrdrddulrdlddrurruulldldrluruuldduuullddrrdrddluuulluurrdrdduulullddrr
mini_cosmos_37,12.822,134,8559,3000,dlluullddrluurrddrruulrddlllluurururdldllddrrrruulrddlddlururuululldlddrrlluururrdlddlluurlddrruurrddllrddluurruullllddrrlluurrduruuld
mini_cosmos_38,23.112,58,24710,5459,drrrurulldrdlldllurrlurrurrdldllrruululddurrddlulldrllddru
mini_cosmos_39,11.851,126,10109,3679,ddrruulrddrruulrddlllluuulurrlddrrlluururrdlddlluururdllddddrrrruulllrrrddlllluuulurrlddrrdurrddllldlurruulluururrdlddlluururd
mini_cosmos_40,10.106,96,9564,3061,dddrruuudllururdldlddrrurruulluldldddrruuluururdllddruddrruullruuldduldrrrddlluulldrurrrddlldllu
